KING-SASSLY LEADERBOARD
========================================

 1. Matt                 +13 pts
 2. Pet poo bum bum boy  +12 pts
 3. Smithy               +8 pts
 4. Rowave               +5 pts
 5. Big D Digby          +3 pts
 6. Was                  +1 pts
 7. Irishman             +0 pts
 8. Bonzaro              +0 pts
 9. Sheep                -2 pts
10. Dreamer              -2 pts
11. I.C.B.M              -3 pts
12. Sssmookin            -20 pts
